GeneId,GeneName,Chromosome,Strand,GeneStart,GeneEnd,KaryotypeBand,Synonyms
ENSG00000070413,DGCR2,22,-1,19023795,19109967,q11.21,2845
ENSG00000273311,DGCR11,22,-1,19033675,19035888,q11.21,17226
ENSG00000231086,TSSK1A,22,1,19112392,19113159,q11.21,11400
ENSG00000100056,ESS2,22,-1,19117792,19132197,q11.21,16817
ENSG00000206203,TSSK2,22,1,19118321,19120134,q11.21,11401
ENSG00000063515,GSC2,22,-1,19136089,19137796,q11.21,4613
ENSG00000260924,LINC01311,22,1,19158908,19160352,q11.21,100652736;AC004463.6;ENSG00000260924;Hs.572896;OTTHUMG00000172740
ENSG00000100075,SLC25A1,22,-1,19163095,19166343,q11.21,10979
ENSG00000070371,CLTCL1,22,-1,19166986,19279239,q11.21,2093
ENSG00000233471,KRT18P62,22,1,19245043,19246329,q11.21,48889
ENSG00000100084,HIRA,22,-1,19318221,19435224,q11.21,4916
ENSG00000242259,C22orf39,22,-1,19338891,19435755,q11.21,27012
ENSG00000244296,RN7SL168P,22,1,19353289,19353565,q11.21,46184
ENSG00000185608,MRPL40,22,1,19419425,19423598,q11.21,14491
ENSG00000070010,UFD1,22,-1,19437433,19466738,q11.21,12520
ENSG00000093009,CDC45,22,1,19466982,19508135,q11.21,1739
ENSG00000184113,CLDN5,22,-1,19510547,19515068,q11.21,2047
ENSG00000184702,SEPTIN5,22,1,19701987,19712295,q11.21,9164
ENSG00000203618,GP1BB,22,1,19710468,19712294,q11.21,4440
ENSG00000184058,TBX1,22,1,19744226,19771116,q11.21,11592
ENSG00000185838,GNB1L,22,-1,19770747,19842462,q11.21,4397
ENSG00000215012,RTL10,22,-1,19833661,19842419,q11.21,26112
ENSG00000184470,TXNRD2,22,-1,19863040,19929341,q11.21,18155
ENSG00000093010,COMT,22,1,19929130,19957498,q11.21,2228
ENSG00000265087,MIR4761,22,1,19951276,19951357,q11.21,41591
ENSG00000099889,ARVCF,22,-1,19957419,20004331,q11.21,728
ENSG00000183597,TANGO2,22,1,20004537,20053449,q11.21,25439
ENSG00000208023,MIR185,22,1,20020662,20020743,q11.21,31556
ENSG00000128191,DGCR8,22,1,20067755,20099400,q11.21,2847
ENSG00000266567,MIR3618,22,1,20073269,20073356,q11.21,38937
ENSG00000221366,MIR1306,22,1,20073581,20073665,q11.21,35371
ENSG00000099899,TRMT2A,22,-1,20099389,20104915,q11.21,24974
ENSG00000099901,RANBP1,22,1,20103461,20114878,q11.21,9847
ENSG00000264346,SNORA77B,22,1,20113925,20114049,q11.21,ENSG00000264346;RF00599
ENSG00000099904,ZDHHC8,22,1,20116979,20135530,q11.21,18474
ENSG00000234409,CCDC188,22,-1,20135950,20138399,q11.21,388849;AC006547.14;ENSG00000234409;Hs.454905;OTTHUMG00000150751
ENSG00000249923,LINC02891,22,-1,20186252,20192441,q11.21,284865;ENSG00000249923;Hs.638498;OTTHUMG00000150567;XXbac-B444P24.8
ENSG00000236499,LINC00896,22,1,20193920,20196047,q11.21,26519
ENSG00000040608,RTN4R,22,-1,20228938,20270769,q11.21,18601
ENSG00000221039,MIR1286,22,-1,20236657,20236734,q11.21,35279
ENSG00000128185,DGCR6L,22,-1,20301799,20307603,q11.21,18551
ENSG00000183038,GGTLC3,22,-1,20366206,20368028,q11.21,33426
ENSG00000215513,PI4KAP1,22,-1,20383524,20427835,q11.21,33576
ENSG00000196622,RIMBP3,22,-1,20456003,20461786,q11.21,29344
ENSG00000236984,SUSD2P2,22,-1,20473206,20475156,q11.21,ENSG00000236984;OTTHUMG00000151314;XXbac-B33L19.10
ENSG00000234757,CA15P2,22,-1,20486312,20488882,q11.21,14916
ENSG00000225894,PPP1R26P2,22,-1,20499890,20503484,q11.21,42016
ENSG00000216522,GGTLC5P,22,1,20610447,20616201,q11.21,AC011718.1;ENSG00000216522;OTTHUMG00000150681
ENSG00000223579,FAM230J,22,-1,20632023,20661407,q11.21,AC011718.2;ENSG00000223579;Hs.629498;Hs.729779;OTTHUMG00000150683
ENSG00000233938,PPP1R26P3,22,-1,20670709,20674508,q11.21,42017
ENSG00000188280,FAM230G,22,1,20692438,20716938,q11.21,45045
ENSG00000161133,USP41,22,-1,20704868,20745048,q11.21,20070
ENSG00000185252,ZNF74,22,1,20748405,20762745,q11.21,13144
ENSG00000207343,RNU6-225P,22,-1,20771087,20771189,q11.21,47188
ENSG00000244486,SCARF2,22,-1,20778874,20792146,q11.21,19869
ENSG00000099910,KLHL22,22,-1,20783528,20850170,q11.21,25888
ENSG00000255156,RNY1P9,22,-1,20829490,20829598,q11.21,41481
ENSG00000242876,RN7SL812P,22,-1,20836224,20836497,q11.21,46828
ENSG00000236670,KRT18P5,22,-1,20837102,20838392,q11.21,19259
ENSG00000099917,MED15,22,1,20850200,20941919,q11.21,14248
ENSG00000250261,CCDC74BP1,22,-1,20941783,20946505,q11.21,AC007050.18;ENSG00000250261;OTTHUMG00000150880
ENSG00000223553,SMPD4P1,22,-1,20956882,21011201,q11.21,39673
ENSG00000238125,SLC9A3P2,22,1,21007017,21009037,q11.21,19325
ENSG00000229107,ABHD17AP4,22,-1,21022124,21025272,q11.21,34042
ENSG00000217261,POM121L4P,22,1,21044217,21053226,q11.21,19326
ENSG00000235062,BCRP5,22,-1,21052250,21053222,q11.21,1018
ENSG00000226287,TMEM191A,22,1,21055220,21058894,q11.21,25317
ENSG00000241973,PI4KA,22,-1,21061979,21213705,q11.21,8983
ENSG00000099937,SERPIND1,22,1,21128167,21142008,q11.21,4838
ENSG00000099940,SNAP29,22,1,21213271,21245506,q11.21,11133
ENSG00000099942,CRKL,22,1,21271714,21308037,q11.21,2363
ENSG00000237476,LINC01637,22,1,21311380,21318967,q11.21,101928891;ENSG00000237476;OTTHUMG00000150805;XXbac-B135H6.15
ENSG00000183773,AIFM3,22,1,21319396,21335649,q11.21,26398
ENSG00000099949,LZTR1,22,1,21333751,21353327,q11.21,6742
ENSG00000184436,THAP7,22,-1,21353393,21356485,q11.21,23190
ENSG00000230513,THAP7-AS1,22,1,21356175,21364631,q11.21,41013
ENSG00000161149,TUBA3FP,22,-1,21357184,21368581,q11.21,24067
ENSG00000099957,P2RX6,22,1,21364097,21383119,q11.21,8538
ENSG00000099960,SLC7A4,22,-1,21383007,21387129,q11.21,11062
ENSG00000207575,MIR649,22,-1,21388465,21388561,q11.21,32905
ENSG00000206145,P2RX6P,22,-1,21389532,21399306,q11.21,34076
ENSG00000187905,LRRC74B,22,1,21400249,21418457,q11.21,400891;AC002472.13;ENSG00000187905;Hs.291198;OTTHUMG00000150897
ENSG00000249680,TUBA3GP,22,1,21419749,21424386,q11.21,44096
ENSG00000169668,BCRP2,22,1,21457305,21476574,q11.21,1015
ENSG00000239511,POM121L7P,22,-1,21477050,21482352,q11.21,35444
ENSG00000224688,E2F6P2,22,-1,21495913,21496660,q11.21,ENSG00000224688;KB-1592A4.13;OTTHUMG00000150785
ENSG00000215498,FAM230B,22,1,21522047,21546445,q11.21,32943
ENSG00000133475,GGT2,22,-1,21562262,21581926,q11.21,4251
ENSG00000226885,E2F6P3,22,1,21622450,21623192,q11.21,ENSG00000226885;KB-1183D5.9;OTTHUMG00000150760
ENSG00000229266,POM121L8P,22,1,21637170,21638450,q11.21,35446
ENSG00000169662,BCRP6,22,-1,21645049,21648875,q11.21,39074
ENSG00000206142,FAM230H,22,-1,21655279,21679331,q11.21,24482
ENSG00000232771,PPP1R26P5,22,1,21695884,21699547,q11.21,42019
ENSG00000196934,RIMBP3B,22,1,21737663,21743446,q11.21,33891
ENSG00000200057,RN7SKP63,22,1,21743480,21743780,q11.21,45787
ENSG00000169635,HIC2,22,1,21771693,21805752,q11.21,18595
ENSG00000206140,TMEM191C,22,1,21820712,21825558,q11.21,33601
ENSG00000183506,PI4KAP2,22,-1,21827289,21871822,q11.21,33577
ENSG00000222352,RN7SKP221,22,-1,21899633,21899933,q11.21,45945
ENSG00000183246,RIMBP3C,22,-1,21899646,21905750,q11.21,33892
ENSG00000185651,UBE2L3,22,1,21903736,21978323,q11.21,12488
ENSG00000161179,YDJC,22,-1,21982378,21984353,q11.21,27158
ENSG00000161180,CCDC116,22,1,21987005,21991616,q11.21,26688
ENSG00000128228,SDF2L1,22,1,21996550,21998587,q11.21,10676
ENSG00000100023,PPIL2,22,1,22006559,22054304,q11.21,9261
ENSG00000212102,MIR301B,22,1,22007270,22007347,q11.21,33667
ENSG00000207751,MIR130B,22,1,22007593,22007674,q11.21,31515
ENSG00000100027,YPEL1,22,-1,22051833,22090123,q11.21,12845
ENSG00000244671,RN7SL280P,22,-1,22077172,22077471,q11.21,46296
ENSG00000100030,MAPK1,22,-1,22108789,22221970,q11.21-q11.22,6871
ENSG00000200985,RNA5SP493,22,1,22146723,22146813,q11.21,43393
ENSG00000100034,PPM1F,22,-1,22273793,22307209,q11.22,19388
ENSG00000224086,PPM1F-AS1,22,1,22292609,22297799,q11.22,ENSG00000224086;Hs.659180;LL22NC03-86G7.1;OTTHUMG00000153510
ENSG00000100038,TOP3B,22,-1,22311397,22337213,q11.22,11993
ENSG00000197549,PRAMENP,22,-1,22345496,22398332,q11.22,34302
ENSG00000253239,IGLVI-70,22,1,22380474,22380991,q11.22,5940
ENSG00000211637,IGLV4-69,22,1,22385332,22385870,q11.22,5921
ENSG00000254355,IGLVI-68,22,1,22387143,22387592,q11.22,5939
ENSG00000253794,IGLV10-67,22,1,22398016,22398340,q11.22,5885
ENSG00000253874,IGLVIV-66-1,22,1,22412845,22413304,q11.22,15692
ENSG00000254075,IGLVV-66,22,1,22415489,22415950,q11.22,5946
ENSG00000254161,IGLVIV-65,22,1,22424636,22425118,q11.22,5944
ENSG00000253242,IGLVIV-64,22,1,22429777,22430077,q11.22,5943
ENSG00000253752,IGLVI-63,22,1,22434180,22434673,q11.22,5938
ENSG00000253823,IGLV1-62,22,1,22440972,22441521,q11.22,5883
ENSG00000211638,IGLV8-61,22,1,22453110,22453622,q11.22,5931
ENSG00000182502,ABHD17AP5,22,-1,22469236,22472374,q11.22,34043
ENSG00000211639,IGLV4-60,22,1,22516592,22517074,q11.22,5920
ENSG00000224465,SOCS2P2,22,-1,22525369,22525942,q11.22,19330
ENSG00000254308,IGLVIV-59,22,1,22533618,22533867,q11.22,5942
ENSG00000253637,IGLVV-58,22,1,22536972,22537275,q11.22,5945
ENSG00000236323,BMP6P1,22,1,22540331,22541009,q11.22,19329
ENSG00000211640,IGLV6-57,22,1,22550113,22550860,q11.22,5927
ENSG00000253126,IGLVI-56,22,1,22552960,22553411,q11.22,5937
ENSG00000211641,IGLV11-55,22,1,22556057,22556600,q11.22,5886
ENSG00000211642,IGLV10-54,22,1,22569184,22569660,q11.22,5884
ENSG00000253935,IGLVIV-53,22,1,22574039,22574525,q11.22,5941
ENSG00000228050,TOP3BP1,22,-1,22577580,22578959,q11.22,11994
ENSG00000169575,VPREB1,22,1,22599087,22599927,q11.22,12709
ENSG00000211643,IGLV5-52,22,1,22673082,22673581,q11.22,5926
ENSG00000211644,IGLV1-51,22,1,22676828,22677336,q11.22,5882
ENSG00000211645,IGLV1-50,22,1,22681658,22682172,q11.22,5881
ENSG00000225724,ASH2LP3,22,1,22693926,22695567,q11.22,ENSG00000225724;LL22NC03-80A10.11;OTTHUMG00000151037
ENSG00000223350,IGLV9-49,22,1,22697539,22698084,q11.22,5933
ENSG00000211647,IGLV5-48,22,1,22707289,22707781,q11.22,5925
ENSG00000211648,IGLV1-47,22,1,22712087,22712608,q11.22,5880
ENSG00000237428,ASH2LP2,22,1,22720578,22722138,q11.22,ENSG00000237428;LL22NC03-22A12.9;OTTHUMG00000151052
ENSG00000211649,IGLV7-46,22,1,22723982,22724454,q11.22,5930
ENSG00000211650,IGLV5-45,22,1,22730355,22730874,q11.22,5924
ENSG00000211651,IGLV1-44,22,1,22735135,22735715,q11.22,5879
ENSG00000211652,IGLV7-43,22,1,22749356,22749827,q11.22,5929
ENSG00000254175,IGLVI-42,22,1,22751369,22751861,q11.22,5936
ENSG00000254073,IGLVVII-41-1,22,1,22753184,22753334,q11.22,15691
ENSG00000253818,IGLV1-41,22,1,22758539,22759053,q11.22,5878
ENSG00000211653,IGLV1-40,22,1,22764098,22764614,q11.22,5877
ENSG00000224144,ASH2LP1,22,1,22774663,22775647,q11.22,19332
ENSG00000253889,IGLVI-38,22,1,22780158,22780651,q11.22,5935
ENSG00000211654,IGLV5-37,22,1,22781876,22782371,q11.22,5922
ENSG00000211655,IGLV1-36,22,1,22786296,22786802,q11.22,5876
ENSG00000253631,IGLV7-35,22,1,22804540,22804990,q11.22,5928
ENSG00000198477,ZNF280B,22,-1,22838767,22863505,q11.22,23022
ENSG00000169548,ZNF280A,22,-1,22868060,22874613,q11.22,18597
ENSG00000185686,PRAME,22,-1,22890123,22901768,q11.22,9336
ENSG00000253120,IGLV2-34,22,1,22922478,22922760,q11.22,5893
ENSG00000211656,IGLV2-33,22,1,22930626,22931145,q11.22,5892
ENSG00000211657,IGLV3-32,22,1,22936998,22937501,q11.22,5914
ENSG00000253920,IGLV3-31,22,1,22946915,22947635,q11.22,5913
ENSG00000253329,IGLV3-30,22,1,22961042,22961633,q11.22,5912
ENSG00000215456,BCRP4,22,1,22972532,22978624,q11.22,1017
ENSG00000183169,POM121L1P,22,-1,22981648,22986944,q11.22,16439
ENSG00000100121,GGTLC2,22,1,22988780,22990368,q11.22,18596
ENSG00000253338,IGLV3-29,22,1,23003769,23004012,q11.22,5911
ENSG00000253451,IGLV2-28,22,1,23006943,23007377,q11.22,5891
ENSG00000211658,IGLV3-27,22,1,23010758,23011276,q11.22,5910
ENSG00000253913,IGLV3-26,22,1,23015622,23016072,q11.22,5909
ENSG00000253779,IGLVVI-25-1,22,1,23021570,23021818,q11.22,15690
ENSG00000211659,IGLV3-25,22,1,23029190,23029735,q11.22,5908
ENSG00000253822,IGLV3-24,22,1,23036924,23037437,q11.22,5907
ENSG00000211660,IGLV2-23,22,1,23040274,23040892,q11.22,5890
ENSG00000253546,IGLVVI-22-1,22,1,23043245,23043455,q11.22,15689
ENSG00000211661,IGLV3-22,22,1,23046750,23047307,q11.22,5906
ENSG00000211662,IGLV3-21,22,1,23054174,23055688,q11.22,5905
ENSG00000254240,IGLVI-20,22,1,23057775,23057904,q11.22,5934
ENSG00000211663,IGLV3-19,22,1,23063108,23063630,q11.22,5903
ENSG00000211664,IGLV2-18,22,1,23077095,23077584,q11.22,5889
ENSG00000253152,IGLV3-17,22,1,23081432,23081675,q11.22,5902
ENSG00000211665,IGLV3-16,22,1,23089870,23090398,q11.22,5901
ENSG00000253786,IGLV3-15,22,1,23098043,23098286,q11.22,5900
ENSG00000211666,IGLV2-14,22,1,23101189,23101707,q11.22,5888
ENSG00000253590,IGLV3-13,22,1,23104787,23105009,q11.22,5899
ENSG00000211667,IGLV3-12,22,1,23114317,23115079,q11.22,5898
ENSG00000211668,IGLV2-11,22,1,23134980,23135496,q11.22,5887
ENSG00000211669,IGLV3-10,22,1,23154244,23154782,q11.22,5897
ENSG00000211670,IGLV3-9,22,1,23161507,23162253,q11.22,5918
ENSG00000211671,IGLV2-8,22,1,23165153,23165787,q11.22,5895
ENSG00000207836,MIR650,22,1,23165270,23165365,q11.22,32906
ENSG00000254077,IGLV3-7,22,1,23180779,23181049,q11.22,5917
ENSG00000253448,IGLV3-6,22,1,23192550,23192799,q11.22,5916
ENSG00000253234,IGLV2-5,22,1,23198937,23199213,q11.22,5894
ENSG00000226420,IGLV3-4,22,1,23200200,23200443,q11.22,5915
ENSG00000211672,IGLV4-3,22,1,23213686,23214214,q11.22,5919
ENSG00000253963,IGLV3-2,22,1,23215391,23215619,q11.22,5904
ENSG00000211673,IGLV3-1,22,1,23222886,23223576,q11.22,5896
ENSG00000264824,MIR5571,22,1,23228447,23228559,q11.22,ENSG00000264824;MI0019115
ENSG00000254709,IGLL5,22,1,23229960,23238287,q11.22,38476
ENSG00000211674,IGLJ1,22,1,23235872,23235998,q11.22,5863
ENSG00000211675,IGLC1,22,1,23237555,23238014,q11.22,5855
ENSG00000211676,IGLJ2,22,1,23241661,23241835,q11.22,5864
ENSG00000211677,IGLC2,22,1,23243156,23243617,q11.22,5856
ENSG00000211678,IGLJ3,22,1,23247030,23247205,q11.22,5865
ENSG00000211679,IGLC3,22,1,23248512,23248973,q11.22,5857
ENSG00000211680,IGLJ4,22,1,23252744,23252776,q11.22,5866
ENSG00000254029,IGLC4,22,1,23252998,23253245,q11.22,5858
ENSG00000211681,IGLJ5,22,1,23256408,23256479,q11.22,5867
ENSG00000254030,IGLC5,22,1,23257805,23258097,q11.22,5859
ENSG00000211682,IGLJ6,22,1,23260304,23260373,q11.22,5868
ENSG00000222037,IGLC6,22,1,23261707,23262023,q11.22,5860
ENSG00000211684,IGLJ7,22,1,23263562,23263607,q11.22,5869
ENSG00000211685,IGLC7,22,1,23264766,23265203,q11.22,5861
ENSG00000100218,RSPH14,22,-1,23401593,23487208,q11.22,13437
ENSG00000128266,GNAZ,22,1,23412540,23467224,q11.22,4395
ENSG00000100228,RAB36,22,1,23487513,23506537,q11.22-q11.23,9775
ENSG00000186716,BCR,22,1,23521891,23660224,q11.23,1014
ENSG00000236794,BCRP8,22,-1,23522058,23522465,q11.23,39076
ENSG00000240160,RN7SL263P,22,-1,23603971,23604258,q11.23,46279
ENSG00000230701,FBXW4P1,22,1,23605323,23606541,q11.23,13609
ENSG00000236611,LINC02556,22,1,23668803,23670680,q11.23,AP000343.2;ENSG00000236611;Hs.517462;OTTHUMG00000150838
ENSG00000215478,CES5AP1,22,-1,23701790,23729918,q11.23,38516
ENSG00000133519,ZDHHC8P1,22,-1,23732793,23744913,q11.23,26461
ENSG00000234928,LINC01659,22,1,23775751,23777258,q11.23,AP000344.3;ENSG00000234928;Hs.570490;Hs.616963;OTTHUMG00000150668
ENSG00000178248,FAM230I,22,-1,23804273,23829167,q11.23,388882;AP000345.1;ENSG00000178248;Hs.542766;OTTHUMG00000150669
ENSG00000225413,LINC02557,22,-1,23854681,23855789,q11.23,AP000345.4;ENSG00000225413;OTTHUMG00000150840
ENSG00000128322,IGLL1,22,-1,23915312,23922495,q11.23,5870
ENSG00000189269,DRICH1,22,-1,23950639,23974508,q11.23,28031
ENSG00000228315,GUSBP11,22,-1,23980674,24059543,q11.23,42325
ENSG00000244723,ASLP1,22,-1,23991400,23995521,q11.23,747
ENSG00000159496,RGL4,22,1,24030323,24041363,q11.23,31911
ENSG00000187792,ZNF70,22,-1,24083769,24093279,q11.23,13140
ENSG00000128218,VPREB3,22,-1,24094930,24096655,q11.23,12710
ENSG00000169314,C22orf15,22,1,24105208,24108048,q11.23,15558
ENSG00000250479,CHCHD10,22,-1,24108021,24110630,q11.23,15559
ENSG00000099953,MMP11,22,1,24110413,24126503,q11.23,7157
ENSG00000099956,SMARCB1,22,1,24129150,24176703,q11.23,11103
ENSG00000099958,DERL3,22,-1,24176690,24181315,q11.23,14236
ENSG00000133460,SLC2A11,22,1,24198890,24228496,q11.23,14239
ENSG00000244425,RN7SL268P,22,-1,24221682,24221977,q11.23,46284
ENSG00000240972,MIF,22,1,24236191,24237414,q11.23,7097
ENSG00000218537,MIF-AS1,22,-1,24236613,24241117,q11.23,AP000350.4;ENSG00000218537;Hs.632772;OTTHUMG00000150772
ENSG00000133433,GSTT2B,22,-1,24299601,24303373,q11.23,33437
ENSG00000099974,DDTL,22,1,24309089,24314721,q11.23,33446
ENSG00000099977,DDT,22,-1,24313554,24322660,q11.23,2732
ENSG00000099984,GSTT2,22,1,24322339,24326106,q11.23,4642
ENSG00000099991,CABIN1,22,1,24407642,24574596,q11.23,24187
ENSG00000099994,SUSD2,22,1,24577227,24585078,q11.23,30667
ENSG00000099998,GGT5,22,-1,24615622,24641110,q11.23,4260
ENSG00000230712,GGTLC4P,22,-1,24644042,24645434,q11.23,AP000354.4;ENSG00000230712;OTTHUMG00000150766
ENSG00000128262,POM121L9P,22,1,24647796,24661493,q11.23,30080
ENSG00000225098,BCRP1,22,-1,24655897,24659732,q11.23,39073
ENSG00000100014,SPECC1L,22,1,24666786,24813708,q11.23,29022
ENSG00000258555,SPECC1L-ADORA2A,22,1,24666866,24838324,q11.23,49185
ENSG00000128271,ADORA2A,22,1,24813847,24838328,q11.23,263
ENSG00000178803,ADORA2A-AS1,22,-1,24825178,24891042,q11.23,37122
ENSG00000100024,UPB1,22,1,24863206,24924358,q11.23,16297
ENSG00000138867,GUCD1,22,-1,24936406,24951903,q11.23,14237
ENSG00000100028,SNRPD3,22,1,24951471,25005947,q11.23,11160
ENSG00000100031,GGT1,22,1,24979718,25024972,q11.23,4250
ENSG00000178026,LRRC75B,22,-1,24981588,24989175,q11.23,33155
ENSG00000215481,BCRP3,22,1,25028882,25046799,q11.23,1016
ENSG00000224124,POM121L10P,22,-1,25041133,25055114,q11.23,35448
ENSG00000224806,ARL5AP4,22,1,25082135,25082646,q11.23,43936
ENSG00000182351,CRIP1P4,22,1,25108259,25108489,q11.23,44519
ENSG00000184571,PIWIL3,22,-1,25115001,25170687,q11.23,18443
